B,I,N,G,O
Has done a 6+ Month Deployment,Has been in for 15+ years.,Taught competitive gymnastics for 4 years,Play Two truths and a lie,Went to the 250th Navy Ball
Has been stationed on the East Coast - where?,Qualified to shoot an M9,Has deployed on 11 different submarines,Arm wrestle,Has deployed within the past 2 years
Has been stationed on the West Coast - where?,Been in for less than 3 years.,Almost crushed by an MH 60 Helo ,Do a tust fall,Has deployed on an aircraft carrier
Has been stationed overseas - where?,Is a 1st gen military member,"Enjoys knitting, quilting, crocheting and Cross stich.",Create a secret handshake,Has deployed on a small boy
Has been in for 15+ years.,Is a 2nd+ gen military member,Black Belt in Marine Corps Martial Arts Program,Talk to a first class outside your Dept.,Has a warfare pin
"Ask a Dept. Head ""What planet most describes you?""",Is a cabinet member from MWR,Recieved Show Chior Scholorship in college,Ask favorite movie,Has deployed while stationed at this command
Is an MWR rep. (Not yours),Is a cabinet member from FCPOA,Sailed through a Radiation Plume,Has been at the command for 6+ years,"Ask the CO Who his mentor is, and why."
Is an ACFL,Dream car/truck?,THE MOST introverted extrovert you'll ever meet,Ask a member of the triad their ideal vacation spot.,Ask the XO what his favorite NIOC TX memory was.
Is on the battle watch,Holds a Command collateral,Has been stationed at NSGA Medina (NIOC TX) since 2004,Has been to a command holiday party,Is a JO
Is a cabinet member from MWR,Plays Trading Card Games,Has never steped foot on a Navy Vessel,"Play best of 3 rock paper scissors, loser does 10 pushups ",Find someone from your home state
Enjoys photography,Is from Texas - where?,Was a third seat Violinist in his local Orchestra,Favorite anime?,Play Eye Spy
Ask favorite video game,Owns their own house,"Big hockey guy, GO BILLS!!!",Enjoys Camping / Hunting / Fishing,Has adopted children
Ask favorite board game,Has a tattoo - what is it?,"Biked over 2,400 miles in 2025",Favorite sci-fi show or movie?,Has ran a marathon
Ask favorite book,Ask favorite food.,Only Chief w/ 771B NEC | Can count to 1...1...1...,Enjoys watching documentaries,Lives in an apartment/townhouse
Ask favorite sport,Plays Trading Card Games,Choosing to be a monk after active duty service,Enjoys going to farmers markets/flea markets,Is from Florida - where?
Follows Soccer - team?,Ask favorite sport,Still get paranoid when swimming in the ocean for swim calls,Follows F1 - driver?,Find someone from a small town.
Find someone who has the same favorite food,Ask Favorite horror movie?,Has a tattoo of a potato,Follows WNBA - team? Player?,Enjoys running
Follows E-Sports - team?,Enjoys DIY projects,"Has been stationed on 4/7 continents, and has set foot on all but 1","If you were an animal, what would you be?",Enjoys snow sports
Follows MLB - team?,Enjoys drawing / art,Played bass trombone in high school,What 3 items would you save froma sinking ship?,Enjoys water sports
Follows the NBA - team?,Plays an instrument,Expert semi-pro motorcycle racer,Played college sports - which?,Ask favorite TV show
Has a pet Dog- name?,Follows the NBA - team?,Is a web developer,Has a smoker/grill,Follows NCAA Baseball - team?
Has a pet Cat - name?,Follows the NFL-  team?,Is a woodworker that likes to make keepsake boxes,Has a Kid,Plays in an adult sports league - what?
Is a middle child,Follows NCAA Basketball - what school?,Has an unhealthy obsession with the New York Yankees,Share 3 bucket list items,Come up with a useless super power with some one
Is an only child,Follows NCAA Football - what school?,"""Shines like a diamond"" Hint: N1 Dept.",Has a watch,"Are curry, mole, gravy, and Étouffée all basically the same?"
Is from Texas - where?,Favorite olympic sport?,Summited the 3 highest peaks in the UK,Find someone from your home state,March MAdness Final 4 prediction
Has 2 warfare pins,Owns a boat / off road vehicle,Been playing piano since age 9,Is from New York - where?,Favorite athlete
Enjoys skating,Apple Music or Spotify?,Owns over 120 board or card games,Follows NASCAR - driver?,If you could have lunch with someone famous--alive or dead-- who would it be?
Ask the CMC what his plans are after retiring.,Ask a Dept. head what there favorite Navy memory is.,Deployed onboard Navy's last diesel carrier,Is from California - where?,Ask an Officer what their favorite navy memory is.
Dream vacation spot,Dream time period to live in,Has served in three different rates in the Navy,Show someone your favorite song.,Show someone your favorite photo.
,,"Try to find him, he's retiring Hint: 30 Dept.",,
,,"""-_-"" Hint: 30 Dept.",,
,,Played College football,,
,,Search and Rescue Seimmer Qualified,,
,,Can Play some insturments,,
